[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.multiblocks.js in 0.002 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.pastoral.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.steam_bloomery.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/tags.facades.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/mars/data.fauna.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/mars/data.mars.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/mars/events.sandstorm.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/mars/recipes.iodine.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/mars/recipes.mars.js in 0.011 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/mars/recipes.ostrum.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/mars/tags.mars.js in 0.005 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/moon/data.moon.js in 0.005 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/moon/recipes.moon.js in 0.002 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/moon/recipes.plants.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/moon/recipes.regolith.js in 0.002 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/moon/tags.moon.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/mv_rework/material.recipes.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/natural_blocks/recipes.alabaster.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/natural_blocks/recipes.asphalt_road.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/natural_blocks/recipes.collapse.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/natural_blocks/recipes.concrete.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/natural_blocks/recipes.dirt.js in 0.003 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/natural_blocks/recipes.rocks.js in 0.004 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/natural_blocks/recipes.sand.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/natural_blocks/recipes.stone_dusts.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/natural_blocks/recipes.tfc_stone.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/natural_blocks/recipes.wood.js in 0.003 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/natural_blocks/tags.rocks.js in 0.002 s
